income,credit_score,existing_loan,monthly_emi,employment_years,missed_payments,approved
1483253,364,237103,4846,8,5,0
226790,591,769042,26205,13,2,0
1891738,324,689925,25570,4,7,0
1011721,848,886867,30255,20,4,0
648345,300,89242,21182,18,7,0
949074,848,375348,39373,20,3,0
1736038,440,153956,43019,15,2,0
1788349,487,803631,16043,23,1,0
1334764,427,584326,45532,11,0,1
729036,500,582074,35754,20,7,0
1990705,426,896068,400,3,6,0
1913371,556,760330,19239,7,5,0
990141,846,835726,10416,6,7,0
848249,493,733375,3412,14,2,0
1278931,403,165250,16440,5,6,0
911131,834,930169,24406,4,6,0
651015,564,522820,1875,13,4,0
1654908,683,262678,53695,20,5,0
356542,559,878260,37066,12,7,0
1421992,713,822564,36536,9,1,0
505062,657,902152,5752,17,5,0
1812162,374,298254,21217,3,7,0
1750284,654,714114,12489,7,5,0
1066651,487,850012,1353,23,0,0
1310205,589,415685,26986,10,3,0
1576760,344,326160,21371,16,7,0
1741310,382,46233,39365,17,6,0
955195,422,916295,14691,20,1,0
490160,657,197780,4311,24,7,0
1796824,827,451448,48075,10,7,0
413920,365,748810,10794,15,0,0
1491380,674,106311,2934,11,6,0
1625541,461,558697,16406,12,3,0
1709433,679,770519,10394,15,0,1
1753068,657,936828,50361,22,3,0
853983,487,401954,26872,20,3,0
1664492,621,496246,41708,0,3,0
1021052,749,810486,49956,15,0,0
328148,773,29709,41093,14,5,0
1734837,312,633609,20800,5,7,0
1604116,483,363,43397,11,3,0
1441290,410,796790,57777,7,5,0
931899,807,494829,37909,6,7,0
483876,589,396456,21352,1,6,0
459747,594,465417,36439,11,7,0
815650,750,45689,28312,20,6,0
623570,514,264080,40060,13,1,0
475987,326,898704,15438,15,4,0
1227512,530,615362,23385,10,5,0
838353,620,175037,44999,19,7,0
1058158,532,208606,18482,8,6,0
217640,736,882,32471,9,4,0
252528,832,413440,47279,16,3,0
459214,702,891659,43877,11,4,0
1170240,352,779110,41212,5,4,0
701108,612,125865,54213,18,3,0
834421,580,648033,48373,10,5,0
1617077,330,424041,13026,8,7,0
1972802,636,463956,42089,20,3,0
1398735,482,28885,19648,5,1,0
1421078,322,695416,5435,24,2,0
355576,843,396419,8493,24,7,0
1124618,745,715601,6691,23,0,1
1065291,373,395460,59321,24,3,0
1086089,309,360466,2763,15,3,0
1128479,783,330763,20389,19,4,0
1259599,755,21584,31498,15,1,1
745735,459,794953,36009,5,6,0
588043,313,705377,35825,4,6,0
1534679,477,819973,16934,20,4,0
266203,711,553351,5574,3,5,0
1105588,352,70268,38179,1,7,0
360775,707,780594,1587,5,3,0
1257913,321,650506,42782,8,7,0
770715,329,380350,38688,16,7,0
1763299,559,458168,54412,13,3,0
1572249,504,748414,11688,6,4,0
564167,358,170635,4409,21,7,0
1595385,770,170824,5783,18,3,0
1878651,765,750593,33480,0,5,0
887281,311,395783,26751,19,7,0
1544027,589,409337,38174,24,2,0
620571,653,919178,57142,14,0,0
1375592,374,600699,56572,17,0,1
991267,740,109876,12041,2,0,1
1793023,540,983779,23227,17,2,0
697562,453,198153,35201,1,3,0
1951541,395,684500,36069,9,4,0
583934,593,664687,16654,10,6,0
517428,508,988167,26370,23,1,0
1567763,642,23331,29482,2,3,0
1242892,387,23004,59806,6,2,0
890907,689,238441,11586,7,7,0
282844,624,905675,50231,18,5,0
1800396,456,403708,5322,17,2,0
1413997,436,448013,13932,12,7,0
322402,727,189167,29299,12,6,0
1366588,751,931253,25179,23,0,1
638661,440,849649,5257,18,3,0
598929,382,613332,46501,22,6,0
780466,476,795477,57134,11,0,0
773695,497,282260,46136,16,1,0
663556,720,542955,9777,21,7,0
775278,700,337201,11249,11,7,0
1193176,770,598493,55366,12,5,0
1378049,517,27302,21390,24,0,1
1183049,474,404499,20369,11,1,0
678007,322,162007,12881,18,7,0
1044573,534,596822,9587,13,2,0
1665585,312,749702,28264,6,0,1
1567290,400,162696,8791,12,0,1
1474732,835,13440,41473,5,4,0
1417540,822,373145,22375,23,5,0
725303,751,308645,22611,18,5,0
1310389,730,394485,42026,18,6,0
227712,832,794300,7833,3,2,0
1873361,592,685611,52038,18,4,0
312816,400,340053,47013,8,6,0
1377354,801,608811,51805,15,1,1
1835156,603,694089,15754,3,6,0
485977,839,540022,42048,5,1,0
335230,654,697789,12577,7,2,0
1966616,602,172409,31095,23,7,0
1006741,795,433541,21248,15,5,0
469114,526,345744,35282,4,7,0
1583194,535,980018,36737,20,1,0
1204208,754,794865,52436,21,2,0
351456,312,507173,31891,9,7,0
1062312,509,664471,24124,22,6,0
1354146,696,628274,4566,12,1,1
470846,399,850185,2196,13,3,0
200404,330,638071,31115,6,0,0
1158447,827,211655,49941,19,6,0
903286,628,466836,19859,5,5,0
1523483,465,808183,11345,6,7,0
1922320,758,671813,59008,4,6,0
915460,399,741204,34077,20,3,0
1084574,472,432184,864,17,2,0
1913796,461,161149,12055,22,2,0
435365,562,239654,38157,11,6,0
542786,573,427991,19747,5,3,0
1299188,302,189216,44484,0,7,0
1010006,327,835002,11978,3,6,0
400244,625,177169,24599,18,0,0
1253385,448,810935,35771,11,0,0
363273,839,658139,46942,14,4,0
1957266,787,873272,57654,2,1,1
1393104,737,131827,46540,22,4,0
1755540,364,301407,17615,19,7,0
1698189,655,894923,40727,7,0,1
1287341,832,317231,44748,10,3,0
1564652,551,959785,51863,15,1,0
1134604,534,575770,39349,8,7,0
1043523,526,972361,56857,2,3,0
746237,824,122989,29377,4,7,0
1449728,612,410616,30031,19,4,0
1548464,348,826547,49573,13,2,0
900903,417,276393,42733,14,3,0
292193,353,768543,11760,5,4,0
1284763,343,964329,47690,3,4,0
705950,352,634649,33714,7,4,0
1386887,824,811032,25762,18,2,0
1110886,401,299850,50986,4,2,0
1000921,697,805654,34332,12,6,0
708153,437,361185,40100,15,2,0
1437665,686,890936,4944,0,1,0
786165,410,41139,48825,12,2,0
1684917,316,639207,13877,21,2,0
1560642,481,771965,29990,10,2,0
818362,835,303446,42907,20,7,0
887409,840,225756,34076,7,3,0
761419,470,349982,52138,24,2,0
840053,708,985663,49538,7,1,0
1060395,677,664006,55283,23,7,0
1879748,487,668903,58505,13,4,0
325917,529,749856,3258,12,3,0
1010717,418,678145,55273,2,0,0
1548346,455,864785,31629,3,7,0
898168,764,948910,37579,19,2,0
681680,403,351136,22958,14,7,0
1171375,801,837860,39465,14,6,0
481342,474,548065,20317,20,6,0
739542,720,57939,15775,12,7,0
1292814,433,446242,11039,8,4,0
201252,690,872882,29097,24,4,0
1026196,800,947057,34207,9,3,0
1064141,332,23548,22553,11,6,0
1734026,354,456437,44402,13,0,1
515826,818,954769,53632,0,5,0
1570214,311,649837,55,13,6,0
805605,827,433917,52476,13,7,0
527359,672,444503,23161,7,6,0
1851451,783,137799,32873,15,1,1
206949,527,765820,35969,13,5,0
963185,606,181789,15184,0,4,0
517537,756,425643,669,15,5,0
1977489,459,672052,12663,17,6,0
862301,630,555913,25318,6,4,0
750222,524,811350,33734,14,5,0
980722,803,434352,16691,23,4,0
1703678,755,901258,18522,16,4,0
1586465,344,639169,11656,18,3,0
676467,513,445625,15893,22,0,0
556600,358,802009,45857,12,4,0
1564133,494,347299,16493,8,1,0
1174304,788,111776,3632,23,6,0
1553038,456,885678,30336,23,6,0
450875,525,758284,23112,14,1,0
663389,711,782119,38452,24,2,0
270390,504,513624,13266,2,4,0
907689,378,212803,55651,23,7,0
453490,423,158761,51067,0,4,0
1815952,770,666514,16940,15,4,0
1496516,517,497873,24003,7,7,0
565340,815,357092,32872,22,5,0
633027,403,21341,34815,12,4,0
1756617,692,359698,30869,7,4,0
1566199,733,205753,49297,16,1,1
1465040,630,894230,17257,21,0,0
1991305,442,308474,16682,22,0,1
1759312,839,773429,19622,13,2,1
1565843,577,349903,30408,20,1,0
850199,532,723776,8837,20,4,0
423777,828,780427,15407,6,0,0
1059909,389,348951,29309,14,3,0
1254145,791,819745,6382,15,3,0
794124,498,309044,27654,18,3,0
828861,661,78840,18895,5,4,0
629802,740,165767,55748,22,4,0
458090,325,161297,33551,0,7,0
1915951,324,872504,21376,11,2,0
1293578,693,882799,370,17,6,0
971954,806,49156,48676,15,2,0
861614,600,208281,486,11,2,0
879574,638,87453,23762,19,5,0
698870,566,683189,26613,12,3,0
1460367,760,998412,47268,7,4,0
402846,755,25938,3196,21,3,0
1910026,659,59164,42320,0,2,0
866997,367,447746,53439,20,4,0
1926351,711,723559,29401,6,1,1
1272647,790,584570,35029,14,7,0
1831107,348,309945,10813,21,0,1
1228455,401,402681,41916,12,0,1
1112259,515,265470,8572,12,2,0
372312,737,921163,47776,8,6,0
1505794,458,977793,28225,23,3,0
1463455,788,682954,45853,14,1,1
1612290,541,115819,49390,3,4,0
626650,304,266907,32275,12,6,0
531868,660,481873,6843,11,3,0
1801596,758,141900,1105,4,2,1
1894329,547,309732,50538,6,3,0
1128818,721,797653,59896,7,2,0
1665746,314,404427,43209,4,5,0
257108,421,537857,31639,8,0,0
1729297,576,227966,42487,13,6,0
1359771,752,37860,18051,11,0,1
1285244,689,202630,28708,3,3,0
485205,593,831769,35459,19,1,0
1589972,745,523225,56908,7,4,0
1812613,509,969815,11864,16,2,0
330560,601,668875,34764,7,4,0
1247172,522,595983,1425,20,0,1
1615400,302,253078,49146,0,7,0
347979,817,766887,57175,19,1,0
1398425,392,368893,6849,1,1,0
948589,819,155976,36015,3,4,0
251745,727,715295,18976,23,0,0
1619184,792,830222,34258,20,7,0
291865,534,855012,50376,0,4,0
1461466,460,992652,51739,6,3,0
1272200,630,5636,56866,0,1,0
223321,632,261578,52216,8,1,0
603704,349,339273,47078,2,3,0
1009006,822,920396,56956,11,0,0
1422869,791,283816,31113,18,1,1
1127982,571,792244,49984,14,6,0
386717,551,227693,15401,21,7,0
1228202,389,521393,12884,15,5,0
1629551,745,654,18824,9,5,0
383868,631,578921,37563,21,5,0
859792,438,17143,34414,5,2,0
295257,656,580222,16142,16,6,0
788579,573,329478,47074,20,2,0
410176,318,627751,49592,21,0,0
390471,610,125851,5956,23,3,0
1114032,453,553375,13928,16,4,0
672930,689,666978,9721,20,6,0
1991667,559,794878,11157,18,7,0
1767438,424,888559,35135,17,0,0
1724350,653,311011,6696,10,4,0
1117559,572,444244,27862,23,0,1
835605,544,846533,5190,6,2,0
1388365,749,158272,4663,9,5,0
589593,546,226179,39830,6,3,0
1015131,819,874506,4331,4,2,0
1322262,440,716825,58648,11,3,0
267661,661,502716,52186,15,6,0
768535,307,217508,44648,24,4,0
1493697,777,642710,28549,20,0,1
1920684,651,350036,16246,17,1,1
1615833,794,219631,25761,2,1,1
466765,726,382188,3262,19,3,0
1394682,338,39148,46088,14,5,0
1507506,486,869360,51259,4,5,0
860482,392,151770,7036,12,3,0
1004462,385,435686,59184,18,2,0
1069270,343,485287,53472,11,1,0
648874,436,838092,22322,22,2,0
1811502,720,971414,19131,20,4,0
1053499,373,821882,4677,4,1,0
1223980,847,711823,7972,5,4,0
318033,811,295901,15329,6,0,0
830265,455,78012,37032,9,2,0
813157,554,893182,35901,15,3,0
1878050,470,913475,44380,7,1,0
1021106,469,987751,50617,8,2,0
1415502,621,989519,20493,3,3,0
1819135,755,948894,18595,20,0,1
1060120,454,56116,21923,20,1,0
631734,648,144233,46926,7,4,0
1621796,750,32152,9735,24,0,1
865627,472,997675,34457,6,5,0
421897,309,106379,42531,14,3,0
201062,564,226905,7727,20,7,0
1496312,737,20836,7764,2,1,1
1823312,546,221439,53693,16,1,0
295462,845,984047,52693,10,6,0
1648021,798,186720,45771,8,6,0
1698585,428,157403,27599,4,0,1
970173,626,141835,818,24,1,0
772203,703,855876,47207,9,3,0
1515352,658,617397,47845,14,0,1
1877456,316,150259,37289,13,4,0
858956,573,143029,33892,3,0,1
1620499,415,397595,5660,20,0,1
1647960,390,945463,29521,19,7,0
1880963,381,606306,38409,1,4,0
731849,623,647364,50281,11,5,0
667010,413,682465,34470,0,6,0
1855016,357,394093,18385,23,3,0
1897900,453,703713,23296,19,5,0
586193,703,870220,53030,4,5,0
226734,565,883302,23616,5,5,0
1123875,614,739945,26382,23,6,0
226069,340,345452,11139,10,2,0
1983841,404,444783,55483,7,6,0
737198,492,320057,32060,6,5,0
1584199,700,526925,22419,3,2,1
670951,577,465994,27785,5,4,0
281264,653,828457,15702,15,6,0
223275,555,762277,59496,19,3,0
796562,398,756547,29217,14,5,0
1723241,581,361652,39291,13,1,0
562920,702,606752,12397,22,4,0
391076,408,290886,40879,11,2,0
1442629,498,536119,57888,11,6,0
1202163,602,113768,35169,15,3,0
1958489,626,771271,26940,14,0,1
772735,453,347236,42249,12,3,0
1112826,704,877311,28341,10,3,0
799991,761,874802,10067,16,5,0
1062522,431,912969,46144,20,5,0
1003692,383,964266,13824,14,6,0
1361157,698,629112,13444,13,6,0
1514532,408,88741,45647,9,7,0
621240,520,18830,58126,11,2,0
1962592,667,317188,48880,15,7,0
1102580,446,860380,33307,14,6,0
1144789,411,69202,10974,9,2,0
1209940,793,299189,46614,3,5,0
316421,804,217394,38383,22,5,0
725893,774,510473,29290,8,1,0
1712950,570,202123,16016,20,1,0
272303,720,893941,32112,19,4,0
358211,666,157699,28513,8,5,0
1194653,579,277342,2956,20,0,1
387210,582,855953,8077,24,1,0
1062557,339,504655,36490,23,2,0
344990,488,630759,44827,19,3,0
1407094,463,815907,59177,10,6,0
324040,835,236824,37855,10,6,0
868406,835,512214,43106,6,4,0
1771714,303,19403,55612,20,1,0
618034,589,3681,34938,9,3,0
956254,732,353699,36159,3,3,0
1233255,770,905316,39710,4,1,0
990756,480,879554,18000,4,0,0
995543,547,639548,13806,10,0,0
1155614,578,697652,47560,8,4,0
740677,553,629674,12809,15,7,0
1895041,480,757666,14855,8,0,1
1552147,808,398845,41876,21,4,0
1197083,625,93246,29388,3,7,0
1932682,656,95864,6458,1,7,0
1371459,690,208886,35524,13,2,1
1991822,384,270561,6853,2,7,0
962501,616,381032,40477,17,1,0
587952,511,165837,32222,20,7,0
312221,814,860931,18320,5,3,0
1230117,683,917340,28618,10,4,0
999666,641,245160,52243,20,6,0
460669,337,187646,45615,17,0,0
959224,810,483761,17352,11,6,0
1039873,719,783566,7297,4,4,0
725134,468,814107,27940,8,5,0
1783818,642,256681,49024,19,4,0
1589959,605,465483,3203,17,0,1
444761,841,695923,39267,18,5,0
1032946,836,535620,37941,2,5,0
1074668,411,779105,17273,8,7,0
337541,710,805609,25368,3,0,0
1147609,505,916992,11650,16,5,0
264323,484,220326,30984,16,1,0
816210,681,723807,41941,22,3,0
1437715,795,261849,7382,22,6,0
1429024,678,319248,52683,1,1,1
1949523,346,346479,801,8,1,0
1154480,827,377082,41002,8,0,1
435659,803,80730,46665,4,7,0
589678,321,398167,47965,14,0,0
1054016,512,237474,19733,14,6,0
1353113,609,290477,57157,2,3,0
1064909,571,283817,9969,18,4,0
441983,501,900853,35969,2,1,0
1815397,331,565158,16733,5,5,0
988260,742,253017,32449,3,3,0
1250493,461,651824,26143,23,1,0
482762,553,333245,25705,12,4,0
1805118,820,809253,28363,12,7,0
986275,779,25494,30720,10,5,0
1616012,309,623765,9972,4,1,0
1758506,804,388227,33351,0,2,0
771650,735,729520,45487,8,6,0
482272,410,374842,36145,16,3,0
585925,452,373704,22412,21,6,0
966641,401,394051,24078,0,0,0
914743,490,280790,22580,2,1,0
789833,380,123777,56235,14,5,0
1330756,788,601648,14855,20,5,0
1860822,387,299479,36169,22,3,0
603081,493,855783,46404,9,3,0
1119723,403,901366,19569,7,6,0
501953,395,133501,59538,11,5,0
578892,722,304094,54437,24,5,0
205287,497,584942,48506,21,5,0
1506241,300,369566,25738,14,1,0
1257088,706,372078,6772,8,5,0
856702,677,119975,24874,23,0,1
1704868,466,723503,19731,24,5,0
1357448,808,353330,10131,9,0,1
293070,612,366378,788,19,1,0
1852631,717,626614,54097,8,3,0
822117,776,77527,16184,14,7,0
1144118,372,348848,30897,22,0,1
1678050,440,948603,2889,20,1,0
1211293,561,432601,9569,20,7,0
1290654,639,166991,21657,0,7,0
1617008,607,96952,10141,1,5,0
807812,544,847214,19656,18,1,0
427645,814,333260,58221,13,7,0
1785083,636,465806,21618,7,5,0
986667,375,876058,11934,5,6,0
1553649,474,433603,42537,11,1,0
1375885,408,671183,23286,14,7,0
1578164,482,46015,7612,13,3,0
1912503,491,102877,51644,20,0,1
1088266,364,277483,32069,0,6,0
1712584,773,523165,16205,10,3,0
1969377,399,658851,27331,24,2,0
546699,843,393922,55897,2,5,0
1584418,427,621781,13934,18,7,0
586594,751,671088,10095,17,0,1
972608,668,924501,25958,19,3,0
1909351,342,496753,37008,1,0,0
1940095,718,715768,18706,24,2,1
1292501,787,975601,43516,6,4,0
1244027,377,391670,38066,7,5,0
337023,569,431739,31472,18,5,0
1335964,614,645936,34629,21,1,0
732295,467,287307,46910,14,7,0
1506378,638,673078,23004,9,5,0
1683624,492,611796,59210,21,5,0
258596,752,739127,20431,0,3,0
1148027,582,301763,56733,5,6,0
551005,635,274270,40088,12,5,0
1073172,689,589214,44135,13,5,0
1788388,824,40633,50250,2,7,0
722244,539,208726,38015,10,2,0
1661074,782,3317,34502,2,6,0
879290,757,307124,31385,18,2,1
699097,388,830547,4663,9,7,0
849789,394,717006,38677,14,0,0
1396632,751,829590,52568,10,0,1
1262636,727,711323,12818,14,5,0
1986921,450,440847,22686,23,5,0
1725848,813,704676,23977,12,1,1
1767121,675,367508,49832,4,0,1
1029735,321,452558,40931,3,3,0
1438855,612,277648,18454,12,5,0
930406,818,723953,13358,8,3,0
1933223,505,419876,6668,24,5,0
1288287,674,823628,45784,16,7,0
1391602,750,852370,40769,1,3,0
535484,478,926109,9921,23,4,0
665317,509,319532,34959,4,3,0
1189024,799,212369,32328,15,6,0
418134,763,579789,8859,6,0,0
1351550,423,708669,58956,0,5,0
1398222,412,27043,23970,11,0,1
1650976,311,33635,8872,20,6,0
1398744,425,210387,58316,10,6,0
1840592,630,80691,19230,11,3,0
889376,582,499730,26708,18,2,0
1784110,439,819564,18847,11,2,0
638774,700,801798,55989,11,6,0
711937,396,93944,27105,13,2,0
611597,816,727467,59847,1,5,0
1114228,368,455796,4922,1,1,0
1153959,417,901699,4392,24,4,0
292263,358,515578,52335,3,3,0
1121522,332,975393,13541,19,1,0
1784166,617,997057,19551,22,2,0
1053938,349,39236,19381,15,3,0
1814021,788,266294,47783,9,1,1
1827781,318,373513,55673,12,0,1
1472386,496,805855,35995,1,2,0
1345222,749,528425,22948,2,7,0
545266,751,554280,26728,18,1,0
1738601,588,896972,59072,5,7,0
680703,440,115140,2024,18,5,0
1174323,383,175993,16713,20,0,1
543054,690,645513,2486,19,2,0
1106862,514,472585,1155,18,4,0
1516128,825,853349,10082,7,6,0
1307955,514,335834,37245,13,2,0
1273629,702,296379,18569,9,7,0
1651238,427,210047,7086,2,5,0
1904858,776,543410,2317,5,4,0
298723,703,286100,36389,14,4,0
775644,328,63879,4491,22,4,0
1521509,637,582848,15916,22,3,0
1053088,660,372454,15248,17,3,0
1280730,691,724045,2511,13,7,0
1462518,517,942164,24226,18,6,0
464480,501,237268,25025,9,4,0
1614397,316,479280,42314,14,6,0
481173,621,507656,48380,3,0,0
1045633,817,787600,7848,22,4,0
1280841,624,307268,14274,1,1,0
1613636,711,691257,54556,2,4,0
1491898,617,670392,54545,6,7,0
1234057,381,314941,30958,22,3,0
1423520,773,821726,50445,15,3,0
1819061,767,437043,35233,9,1,1
1696972,724,789948,16304,18,1,1
1403358,503,150823,48437,16,2,0
1933422,686,554661,11294,18,0,1
1320483,397,122026,26425,4,0,1
402967,644,30270,3175,22,7,0
1551351,507,927890,40617,19,7,0
1639758,813,232931,45241,12,7,0
1530823,465,720177,27775,12,7,0
264772,321,65184,9425,10,7,0
326108,453,507532,26013,10,7,0
1262958,738,735053,27928,15,0,1
1332867,594,562167,44990,14,5,0
563339,518,311741,41212,16,3,0
1907692,794,956636,8210,21,0,1
1531329,529,3626,2759,17,7,0
347550,319,610224,16091,18,2,0
1480626,447,495395,54407,3,2,0
632882,407,759161,57566,21,0,0
537827,702,605803,2,21,1,0
1247843,782,208137,57282,22,2,0
1740889,666,579678,50411,4,6,0
1635434,713,934149,40958,6,1,0
1903194,608,747320,30160,1,6,0
795603,433,578432,20707,0,3,0
588349,582,144454,15248,11,5,0
1262729,372,528313,5773,9,2,0
1226919,780,436442,12786,7,1,1
1849189,651,341524,51720,0,7,0
1489349,625,254043,15037,11,6,0
1303894,742,643198,1885,1,0,1
594030,399,462927,39828,9,6,0
1625753,358,620343,16331,21,6,0
276077,807,388333,40612,16,3,0
1076906,557,730070,22495,2,4,0
333515,712,920947,13450,6,4,0
1193497,751,807827,9491,11,0,1
1455564,364,797157,51490,7,3,0
325885,453,557749,9268,19,3,0
1096209,565,258072,52910,11,7,0
741656,378,565403,27757,2,3,0
870688,614,110084,53962,16,3,0
388014,547,345876,41907,8,4,0
291751,713,473006,6791,9,1,0
430203,324,341701,39939,21,3,0
1013738,583,857692,28314,5,1,0
895275,748,684050,51883,24,6,0
1023651,600,787839,28583,0,6,0
1460527,367,73568,50021,21,3,0
1753731,306,58560,21550,11,2,0
395716,436,964844,93,4,5,0
784567,463,148866,35755,12,2,0
515172,382,150953,45615,14,6,0
1090695,719,741652,9967,21,5,0
200126,372,761058,16218,10,2,0
1038761,536,226024,43220,7,3,0
1276208,345,180775,8627,4,1,0
700315,561,961858,4947,1,5,0
1969246,475,91288,39419,11,4,0
1358521,465,471678,56131,1,0,0
517320,669,381164,23178,15,5,0
1499445,353,885733,28876,20,5,0
941426,718,774124,22908,2,4,0
698716,806,14390,35912,9,3,0
1243917,640,497619,19971,18,2,0
1423975,426,218547,32584,7,2,0
662120,708,551595,49228,6,6,0
1383445,666,227436,58159,0,1,0
378954,570,225121,8959,11,3,0
869078,678,251063,55705,4,4,0
1283136,372,24502,28261,15,3,0
484260,547,546774,41065,24,3,0
332717,342,373957,39462,3,2,0
1427171,676,693618,15835,16,4,0
848373,340,713076,19257,23,7,0
579862,469,228300,3346,20,0,1
694592,511,103920,30807,1,5,0
1348734,792,736854,30418,11,2,0
1957109,338,344912,56176,0,4,0
1417078,668,928252,52300,11,1,0
1681074,450,587073,11340,11,5,0
530388,410,600338,58809,11,5,0
1915630,779,547026,59931,18,7,0
518408,735,74231,33012,24,7,0
668276,346,73606,35393,16,2,0
1214920,665,486517,36617,19,6,0
257545,368,303806,9597,23,1,0
711411,598,380457,25557,23,2,0
1025656,595,227369,7737,10,3,0
1220020,502,999738,46792,12,6,0
1084377,360,801555,44768,7,4,0
213224,613,493896,41101,9,7,0
240738,460,156688,17276,7,1,0
1142654,630,495898,54639,19,5,0
1429336,827,273326,56403,7,2,1
1217433,637,876801,7310,8,7,0
666725,603,455229,35167,6,5,0
863937,802,162403,37408,13,1,0
1780934,637,701458,19344,1,7,0
1374737,849,26128,10391,24,7,0
1781530,574,31556,56477,10,5,0
1044193,463,258470,50621,7,2,0
498512,742,677236,10892,12,6,0
862143,618,140021,11197,20,2,0
766202,803,576250,13050,14,0,1
1450155,686,614342,36142,2,7,0
852026,793,517200,45679,22,5,0
1196530,789,202278,41615,13,0,1
971253,372,548387,47553,14,6,0
704471,808,235943,43728,1,0,1
1578246,689,930220,13535,18,5,0
1006388,594,183683,41002,11,1,0
1467543,668,694245,43271,24,3,0
583152,848,315288,57075,19,6,0
1154652,486,196292,5122,3,2,0
294270,744,532125,9852,2,4,0
1245482,662,180427,5387,4,6,0
1791961,422,178371,31759,2,0,0
1914331,487,936663,40399,24,1,0
1395889,719,911644,39994,14,5,0
358768,551,903112,37876,18,1,0
1495302,848,772291,51376,1,1,0
770451,634,368946,34878,11,5,0
219816,391,626701,33725,4,4,0
1167344,829,51012,7146,21,5,0
957907,362,130193,560,16,4,0
514997,811,976809,58674,13,5,0
1404565,438,218168,56565,21,0,1
1869595,484,148178,1312,9,4,0
1925502,504,58123,18205,2,0,0
1455100,513,111825,11595,3,6,0
1835687,555,533008,22030,5,4,0
1238896,434,168733,21329,23,4,0
1400454,387,770391,38142,24,5,0
930880,506,224970,2651,21,4,0
1774623,428,224866,10006,15,0,1
981452,302,938624,42701,6,7,0
1683741,420,150862,53853,14,6,0
333554,684,582943,48940,20,7,0
651282,337,715003,35645,24,5,0
1342077,640,617736,21966,19,2,0
464223,320,178446,27846,10,6,0
1308252,541,698267,21774,21,7,0
1990380,754,181143,4083,20,6,0
1422108,602,644795,33513,0,7,0
1863261,368,296956,8749,4,0,1
797135,428,836002,30783,12,7,0
1866471,495,313045,17325,20,6,0
420178,439,60186,53175,13,2,0
1398097,743,122066,18680,8,1,1
626752,582,390508,17323,16,5,0
788365,611,705611,50762,14,1,0
1024690,834,720531,22684,20,5,0
903662,576,36160,34493,6,6,0
1505585,360,19156,58328,21,5,0
1386293,618,76208,58931,21,7,0
1630491,351,473196,12213,11,0,1
762288,452,465536,31831,22,2,0
1799601,610,673289,42296,5,5,0
500709,843,459822,46930,20,2,0
1143026,688,231226,27713,15,5,0
1434816,847,455775,41621,4,2,1
1825351,476,447421,7187,8,1,0
1523062,661,766054,32800,13,0,1
1551526,613,461691,32583,7,5,0
1559490,396,719701,47661,13,3,0
1327199,512,881809,14408,11,2,0
1613897,436,305007,22369,9,2,0
1217289,305,737197,47928,19,7,0
1107425,408,65439,3414,19,3,0
383675,846,662554,50308,20,0,0
1985910,338,726747,19510,12,2,0
1878811,724,645649,57404,18,0,1
852465,560,212986,12120,14,2,0
1465030,725,197286,34311,7,6,0
1198748,386,882608,33039,22,4,0
1358151,764,492508,5295,20,6,0
1233024,375,29777,20460,9,2,0
1456182,770,256427,14963,2,4,0
705815,713,681543,11580,20,5,0
1541398,756,420661,22286,2,0,1
276218,584,198110,27328,4,2,0
787518,538,349345,19093,15,7,0
970044,671,933702,58498,16,1,0
1584775,794,414627,21605,5,7,0
649589,344,705937,45365,19,1,0
1935416,700,278011,44813,19,3,0
678446,546,586789,46371,15,1,0
662052,749,145338,42705,23,4,0
1582978,784,825854,47598,1,1,0
1288562,317,690568,57681,19,1,0
1928096,588,501754,6722,14,1,0
547739,713,645832,40969,17,2,0
1874222,534,424429,36912,0,3,0
672327,715,662727,38374,18,0,0
1575649,798,779518,6766,11,3,0
797794,414,996530,49882,7,7,0
234911,533,559650,15928,5,4,0
625037,839,250449,21274,11,2,1
930399,310,313732,34416,6,5,0
1178039,505,169357,20612,17,2,0
1099885,546,650971,34898,21,6,0
808746,426,780445,47160,13,1,0
1260751,446,205827,29047,7,7,0
1105667,417,202918,43356,23,1,0
516915,681,298451,37134,19,4,0
699876,711,342424,1506,21,5,0
1894164,662,413083,51310,13,7,0
811213,808,842955,52068,4,6,0
968734,436,923882,15222,8,2,0
1314934,474,740045,12363,7,5,0
1659119,588,107669,19613,1,0,0
247057,780,732318,44563,15,3,0
1516870,318,158998,30628,12,2,0
454726,494,627503,42626,6,5,0
478176,629,622995,45384,15,0,0
1775062,474,406396,55417,6,0,1
908754,748,617125,4136,13,6,0
1137583,653,904502,46246,13,6,0
1415868,798,954435,11161,11,3,0
344931,440,941518,35457,0,0,0
1692252,392,245847,23574,0,7,0
362491,538,227544,26902,11,4,0
1629585,504,866304,2810,19,0,0
601921,732,976006,59860,20,5,0
460910,544,874168,11663,14,6,0
1271812,616,267614,6152,3,4,0
287955,594,227467,12,6,7,0
1989450,581,146025,11162,15,6,0
827433,316,759940,22322,2,7,0
1919294,370,956011,7999,6,6,0
1479361,568,512177,7219,23,6,0
1343490,624,879401,5328,21,0,0
407990,604,615781,3621,5,1,0
578387,750,792955,52835,15,0,0
738884,306,217995,24256,23,6,0
1196261,613,712550,44433,7,4,0
1905215,402,965265,54462,22,0,0
1442845,492,293313,11314,21,6,0
592417,828,569929,652,5,6,0
